,ID,volume (voxel counting),Sphericity,Surface area (mesh),Skewness,Minimum Intensity,Mean,Maximum Intensity,Kurtosis,Correlat,Contrast,AngScMom,Entropy,GLCM difference average,InvDfMom,NGTDM coarseness,NGTDM contrast,NGTDM busyness,ShrtREmp,LngREmph,GLRLM Low Gray Level Run Emphasis,GLRLM High Gray Level Run Emphasis,GLRLM Short Run Low Gray Level Emphasis,GLRLM Short Run High Gray Level Emphasis,GLRLM Long Run Low Gray Level Emphasis,GLRLM Long Run High Gray Level Emphasis,GlevNonU,RLNonUni,GLRLM Run Percentage
0,R01-001,0,0,0,-0.49964804,0,817.57143,0,-1.1008414,2.3378538914,2.2419874536,1.4184305776,2.4769914144,0,3.2505788916,0,0,0,69.933404,9.6505283,0,0,0,0,0,0,2.37484145,0.85576653,0
0,R01-002,0,0,0,-1.8903482,0,33717.456,0,2.8089381,0.4062285586,0.4126305998,0.45674899,0.4424138,0,0.4280563096,0,0,0,35.425877,55.44386,0,0,0,0,0,0,7.25833335,0.57078185,0
0,R01-003,0,0,0,-2.3454915,0,33806.521,0,6.6448847,0.416953239,0.410308952,0.443176442,0.414836360714,0,0.405770292,0,0,0,21.038248,34.3094015,0,0,0,0,0,0,9.8597222,0.552493605,0
0,R01-004,0,0,0,-2.3981132,0,33796.037,0,7.2155609,0.478758998,0.468697096,0.480364056,0.4252236928,0,0.438280032,0,0,0,10.380435,23.5833335,0,0,0,0,0,0,12.5498185,0.43957244,0
0,R01-005,0,0,0,-1.4485474,0,956.51366,0,1.6371415,1.057582898,0.890172732,0.870723494,1.1064246636,0,0.89891558,0,0,0,96.9053525,36.3837655,0,0,0,0,0,0,4.50796125,0.696095115,0
0,R01-006,0,0,0,-1.0441332,0,33646.723,0,0.37479347,0.497136428,0.505449688,0.52144843,0.485827466,0,0.47991414,0,0,0,8.5049342,33.4498355,0,0,0,0,0,0,29.441612,0.291510025,0
0,R01-008,0,0,0,0.11664597,0,634.74263,0,-1.2032938,1.7193063524,1.2544397714,1.1860586084,2.0293346388,0,1.478485965,0,0,0,234.853875,28.4783935,0,0,0,0,0,0,2.2847016,0.812944395,0
0,R01-010,0,0,0,-3.8046837,0,33766.109,0,17.704908,0.4915374,0.503510238,0.5134061,0.467844976,0,0.484575248,0,0,0,23.559524,70.014881,0,0,0,0,0,0,35.692956,0.364297515,0
0,R01-011,0,0,0,-0.8890074,0,33705.099,0,-0.1035038,0.519215202,0.530072186,0.534558688,0.50894899,0,0.519177218,0,0,0,16.8338795,94.9459015,0,0,0,0,0,0,58.7301455,0.198719655,0
0,R01-012,0,0,0,0.37759745,0,476.51685,0,-0.5451309,2.4956268168,1.6020776994,1.727633628,3.4323708068,0,2.1093913122,0,0,0,51.997443,7.2259361,0,0,0,0,0,0,1.66319635,0.86443937,0
